Expression,Value
22 + 35,57
22 * 36,792
22 + 37,59
22 - 37,-15
22 * 37,814
22 - 38,-16
22 - 39,-17
22 * 39,858
22 * 40,880
22 / 40,0.55
22 * 41,902
22 / 41,0.5365853658536586
22 + 42,64
22 * 42,924
22 / 42,0.5238095238095238
22 + 43,65
22 * 43,946
22 * 44,968
22 - 45,-23
22 * 45,990
22 / 45,0.4888888888888889
22 + 47,69
22 - 47,-25
22 * 47,1034
22 * 48,1056
22 + 49,71
22 - 49,-27
22 + 50,72
22 - 50,-28
22 + 51,73
22 - 51,-29
22 + 54,76
22 - 54,-32
22 * 54,1188
22 / 54,0.4074074074074074
22 / 55,0.4
22 + 56,78
22 / 56,0.39285714285714285
22 + 58,80
22 * 58,1276
22 / 58,0.3793103448275862
22 + 59,81
22 - 59,-37
22 - 60,-38
22 * 60,1320
22 / 60,0.36666666666666664
22 / 61,0.36065573770491804
22 - 63,-41
22 / 63,0.3492063492063492
22 - 64,-42
22 * 64,1408
22 / 64,0.34375
22 + 65,87
22 - 65,-43
22 * 65,1430
22 / 65,0.3384615384615385
22 + 66,88
22 * 66,1452
22 / 67,0.3283582089552239
22 + 68,90
22 * 68,1496
22 - 69,-47
22 * 69,1518
22 + 70,92
22 - 70,-48
22 / 70,0.3142857142857143
22 + 71,93
22 - 71,-49
22 + 72,94
22 - 72,-50
22 * 72,1584
22 + 73,95
22 - 73,-51
22 + 74,96
22 - 74,-52
22 * 74,1628
22 * 75,1650
22 + 76,98
22 / 77,0.2857142857142857
22 + 78,100
22 * 78,1716
22 / 78,0.28205128205128205
22 + 79,101
22 - 79,-57
22 * 79,1738
22 + 80,102
22 - 80,-58
22 - 81,-59
22 * 81,1782
22 + 82,104
22 * 82,1804
22 + 83,105
22 * 83,1826
22 / 83,0.26506024096385544
22 + 84,106
22 * 84,1848
22 + 85,107
22 / 85,0.25882352941176473
22 - 86,-64
22 / 86,0.2558139534883721
22 * 87,1914
22 * 89,1958
22 / 89,0.24719101123595505
22 - 90,-68
22 + 91,113
22 - 91,-69
22 * 91,2002
22 / 91,0.24175824175824176
22 + 92,114
22 - 93,-71
22 / 93,0.23655913978494625
22 - 94,-72
22 + 95,117
22 * 95,2090
22 / 95,0.23157894736842105
22 / 96,0.22916666666666666
22 + 97,119
22 + 98,120
22 * 98,2156
22 / 98,0.22448979591836735
22 - 99,-77
22 * 99,2178
23 - 0,23
23 * 1,23
23 + 3,26
23 - 3,20
23 / 3,7.666666666666667
23 + 4,27
23 * 4,92
23 + 5,28
23 - 5,18
23 / 5,4.6
23 + 6,29
23 - 6,17
23 * 6,138
23 / 6,3.8333333333333335
23 + 7,30
23 * 7,161
23 + 8,31
23 - 9,14
23 * 9,207
23 * 10,230
23 - 11,12
23 * 11,253
23 / 11,2.090909090909091
23 + 12,35
23 * 12,276
23 + 14,37
23 * 14,322
23 / 14,1.6428571428571428
23 / 15,1.5333333333333334
23 - 16,7
23 / 16,1.4375
23 + 17,40
23 - 18,5
23 + 19,42
23 / 19,1.2105263157894737
23 - 20,3
23 * 21,483
23 / 21,1.0952380952380953
23 - 22,1
23 * 22,506
23 - 23,0
23 * 23,529
23 / 23,1.0
23 + 24,47
23 * 24,552
23 / 24,0.9583333333333334
23 - 25,-2
23 * 25,575
23 - 26,-3
23 / 26,0.8846153846153846
23 - 27,-4
23 * 27,621
23 / 27,0.8518518518518519
23 - 28,-5
23 * 28,644
23 - 29,-6
23 * 29,667
23 / 29,0.7931034482758621
23 + 30,53
23 * 30,690
23 / 30,0.7666666666666667
23 + 31,54
23 + 32,55
23 * 32,736
23 + 33,56
23 - 33,-10
23 / 33,0.696969696969697
23 + 34,57
23 - 34,-11
23 * 34,782
23 / 34,0.6764705882352942
23 + 35,58
23 - 35,-12
23 * 35,805
23 / 35,0.6571428571428571
23 - 36,-13
23 + 37,60
23 - 37,-14
23 + 38,61
23 - 38,-15
23 * 38,874
23 + 39,62
23 - 39,-16
23 / 39,0.5897435897435898
23 + 40,63
23 - 40,-17
23 - 41,-18
23 / 41,0.5609756097560976
23 + 43,66
23 * 43,989
23 * 44,1012
23 / 44,0.5227272727272727
23 - 45,-22
23 / 45,0.5111111111111111
23 * 46,1058
23 / 46,0.5
23 - 47,-24
23 / 47,0.48936170212765956
23 - 48,-25
23 / 49,0.46938775510204084
23 + 50,73
23 - 50,-27
23 / 50,0.46
23 / 51,0.45098039215686275
23 + 52,75
23 - 52,-29
23 * 52,1196
23 + 53,76
23 * 53,1219
23 + 54,77
23 * 54,1242
23 / 54,0.42592592592592593
23 / 55,0.41818181818181815
23 + 56,79
23 - 56,-33
23 * 56,1288
23 / 57,0.40350877192982454
23 + 58,81
23 - 58,-35
23 / 58,0.39655172413793105
23 + 59,82
23 - 59,-36
23 / 59,0.3898305084745763
23 + 60,83
23 * 60,1380
23 / 61,0.3770491803278688
23 - 62,-39
23 / 63,0.36507936507936506
23 + 64,87
23 * 64,1472
23 / 64,0.359375
23 + 65,88
23 * 65,1495
23 + 66,89
23 / 66,0.3484848484848485
23 + 67,90
23 - 67,-44
23 / 67,0.34328358208955223
23 + 68,91
23 + 69,92
23 - 69,-46
23 * 69,1587
23 / 69,0.3333333333333333
23 + 70,93
23 * 70,1610
23 / 70,0.32857142857142857
23 * 71,1633
23 + 72,95
23 - 72,-49
23 + 73,96
23 - 73,-50
23 * 73,1679
23 * 74,1702
23 - 75,-52
23 * 75,1725
23 - 76,-53
23 * 76,1748
23 / 76,0.3026315789473684
23 + 77,100
23 - 77,-54
23 * 77,1771
23 + 78,101
23 * 78,1794
23 / 78,0.2948717948717949
23 + 79,102
23 - 79,-56
23 / 79,0.2911392405063291
23 - 80,-57
23 - 81,-58
23 * 81,1863
23 / 81,0.2839506172839506
23 - 82,-59
23 / 82,0.2804878048780488
23 + 83,106
23 * 83,1909
23 - 84,-61
23 + 85,108
23 + 86,109
23 - 86,-63
23 * 86,1978
23 + 87,110
23 * 87,2001
23 / 87,0.26436781609195403
23 - 88,-65
23 / 88,0.26136363636363635
23 + 89,112
23 / 89,0.25842696629213485
23 * 90,2070
23 - 91,-68
23 / 91,0.25274725274725274
23 + 92,115
23 * 92,2116
23 / 92,0.25
23 + 93,116
23 * 93,2139
23 / 93,0.24731182795698925
23 - 94,-71
23 * 94,2162
23 / 94,0.24468085106382978
23 - 95,-72
23 * 95,2185
23 / 95,0.24210526315789474
23 + 96,119
23 - 96,-73
23 * 96,2208
23 + 97,120
23 / 97,0.23711340206185566
23 - 98,-75
23 * 98,2254
23 / 98,0.23469387755102042
23 - 99,-76
23 / 99,0.23232323232323232
24 - 0,24
24 * 0,0
24 + 1,25
24 * 1,24
24 - 3,21
24 * 3,72
24 + 4,28
24 / 4,6.0
24 * 5,120
24 / 5,4.8
24 * 6,144
24 / 7,3.4285714285714284
24 + 8,32
24 - 8,16
24 * 8,192
24 / 8,3.0
24 - 9,15
24 * 9,216
24 / 10,2.4
24 + 11,35
24 - 11,13
24 / 11,2.1818181818181817
24 - 12,12
24 * 12,288
24 / 12,2.0
24 * 13,312
24 + 14,38
24 * 14,336
24 / 14,1.7142857142857142
24 * 15,360
24 * 16,384
24 + 17,41
24 - 17,7
24 * 17,408
24 / 17,1.411764705882353
24 + 18,42
24 * 18,432
24 - 19,5
24 * 19,456
24 * 20,480
24 / 20,1.2
24 * 21,504
24 - 22,2
24 * 22,528
24 / 22,1.0909090909090908
24 - 23,1
24 - 24,0
24 * 24,576
24 + 25,49
24 + 26,50
24 - 26,-2
24 / 26,0.9230769230769231
24 * 27,648
24 / 27,0.8888888888888888
24 / 28,0.8571428571428571
24 + 29,53
24 - 30,-6
24 * 30,720
24 / 30,0.8
24 - 31,-7
24 / 31,0.7741935483870968
24 / 32,0.75
24 + 33,57
24 - 34,-10
24 * 34,816
24 / 34,0.7058823529411765
24 + 35,59
24 * 35,840
24 / 35,0.6857142857142857
24 / 36,0.6666666666666666
24 + 37,61
24 * 38,912
24 + 39,63
24 * 39,936
24 / 39,0.6153846153846154
24 - 40,-16
24 * 40,960
24 - 41,-17
24 * 41,984
24 / 41,0.5853658536585366
24 - 42,-18
24 + 43,67
24 - 43,-19
24 + 44,68
24 * 44,1056
24 - 45,-21
24 * 45,1080
24 + 46,70
24 * 46,1104
24 - 47,-23
24 * 47,1128
24 / 47,0.5106382978723404
24 / 48,0.5
24 + 49,73
24 + 50,74
24 - 50,-26
24 * 50,1200
24 + 51,75
24 * 51,1224
24 + 52,76
24 - 52,-28
24 / 52,0.46153846153846156
24 + 54,78
24 * 55,1320
24 / 55,0.43636363636363634
24 + 56,80
24 + 57,81
24 / 57,0.42105263157894735
24 + 58,82
24 / 58,0.41379310344827586
24 * 59,1416
24 / 59,0.4067796610169492
24 + 60,84
24 - 61,-37
24 * 61,1464
24 / 61,0.39344262295081966
24 - 62,-38
24 / 62,0.3870967741935484
24 + 63,87
24 * 63,1512
24 / 63,0.38095238095238093
24 * 64,1536
24 / 64,0.375
24 - 65,-41
24 + 66,90
24 * 66,1584
24 / 66,0.36363636363636365
24 * 67,1608
24 / 67,0.3582089552238806
24 + 68,92
24 - 68,-44
24 / 68,0.35294117647058826
24 - 69,-45
24 * 69,1656
24 / 69,0.34782608695652173
24 - 70,-46
24 * 70,1680
24 - 71,-47
24 + 72,96
24 - 72,-48
24 * 72,1728
24 / 72,0.3333333333333333
24 * 73,1752
24 + 74,98
24 * 74,1776
24 / 74,0.32432432432432434
24 * 75,1800
24 + 76,100
24 - 76,-52
24 * 76,1824
24 / 76,0.3157894736842105
24 + 77,101
24 - 77,-53
24 / 77,0.3116883116883117
24 * 78,1872
24 * 79,1896
24 / 79,0.3037974683544304
24 - 80,-56
24 / 80,0.3
24 + 82,106
24 * 82,1968
24 - 83,-59
24 * 83,1992
24 + 84,108
24 / 84,0.2857142857142857
24 + 85,109
24 * 85,2040
24 + 86,110
24 - 86,-62
24 * 86,2064
24 / 86,0.27906976744186046
24 + 88,112
24 - 88,-64
24 * 88,2112
24 / 88,0.2727272727272727
24 - 89,-65
24 / 89,0.2696629213483146
24 + 90,114
24 - 90,-66
24 * 90,2160
24 * 91,2184
24 / 91,0.26373626373626374
24 / 92,0.2608695652173913
24 / 93,0.25806451612903225
24 + 94,118
24 * 94,2256
24 / 94,0.2553191489361702
24 * 95,2280
24 + 96,120
24 * 96,2304
24 / 96,0.25
24 - 97,-73
24 * 97,2328
24 / 97,0.24742268041237114
24 - 98,-74
24 * 98,2352
24 / 99,0.24242424242424243
25 + 0,25
25 - 1,24
25 * 1,25
25 + 3,28
25 * 3,75
25 / 3,8.333333333333334
25 + 5,30
25 - 5,20
25 * 5,125
25 / 5,5.0
25 - 6,19
25 * 6,150
25 + 7,32
25 - 7,18
25 / 7,3.5714285714285716
25 + 8,33
25 - 8,17
25 * 8,200
25 + 9,34
25 - 9,16
25 * 9,225
25 / 9,2.7777777777777777
25 + 10,35
25 - 10,15
25 * 10,250
25 / 10,2.5
25 + 11,36
25 - 11,14
25 * 11,275
25 / 11,2.272727272727273
25 + 12,37
25 - 12,13
25 * 12,300
25 + 13,38
25 / 13,1.9230769230769231
25 + 14,39
25 * 14,350
25 + 15,40
25 * 16,400
25 + 17,42
25 * 17,425
25 / 17,1.4705882352941178
25 * 18,450
25 - 19,6
25 + 20,45
25 - 20,5
25 + 21,46
25 * 21,525
25 / 21,1.1904761904761905
25 / 22,1.1363636363636365
25 + 23,48
25 - 23,2
25 * 23,575
25 + 24,49
25 * 24,600
25 / 24,1.0416666666666667
25 + 25,50
25 - 25,0
25 * 25,625
25 + 26,51
25 * 26,650
25 * 27,675
25 * 28,700
25 * 29,725
25 / 29,0.8620689655172413
25 - 30,-5
25 * 30,750
25 / 30,0.8333333333333334
25 + 33,58
25 + 34,59
25 * 34,850
25 + 35,60
25 - 35,-10
25 / 35,0.7142857142857143
25 + 36,61
25 * 36,900
25 * 37,925
25 + 38,63
25 / 38,0.6578947368421053
25 - 39,-14
25 * 39,975
25 / 39,0.6410256410256411
25 + 40,65
25 - 40,-15
25 / 40,0.625
25 / 41,0.6097560975609756
25 + 42,67
25 - 42,-17
25 * 42,1050
25 / 42,0.5952380952380952
25 + 43,68
25 * 43,1075
25 / 44,0.5681818181818182
25 * 45,1125
25 / 45,0.5555555555555556
25 - 46,-21
25 * 46,1150
25 * 48,1200
25 / 48,0.5208333333333334
25 / 49,0.5102040816326531
25 / 50,0.5
25 * 51,1275
25 / 51,0.49019607843137253
25 * 52,1300
25 / 52,0.4807692307692308
25 + 54,79
25 / 54,0.46296296296296297
25 + 55,80
25 - 55,-30
25 * 55,1375
25 / 55,0.45454545454545453
25 + 56,81
25 - 56,-31
25 - 57,-32
25 / 57,0.43859649122807015
25 + 58,83
25 - 58,-33
25 * 58,1450
25 + 59,84
25 - 59,-34
25 + 60,85
25 - 60,-35
25 * 61,1525
25 / 61,0.4098360655737705
25 + 62,87
25 * 62,1550
25 / 62,0.4032258064516129
25 * 63,1575
25 - 64,-39
25 / 64,0.390625
25 + 65,90
25 - 65,-40
25 / 65,0.38461538461538464
25 + 67,92
25 / 67,0.373134328358209
25 * 68,1700
25 + 69,94
25 * 69,1725
25 + 70,95
25 - 70,-45
25 * 70,1750
25 + 71,96
25 * 71,1775
25 / 71,0.352112676056338
25 - 73,-48
25 * 73,1825
25 / 73,0.3424657534246575
25 - 74,-49
25 * 74,1850
25 / 74,0.33783783783783783
25 * 75,1875
25 - 76,-51
25 / 76,0.32894736842105265
25 * 77,1925
25 + 79,104
25 / 79,0.31645569620253167
25 / 80,0.3125
25 + 81,106
25 + 82,107
25 - 82,-57
25 / 82,0.3048780487804878
25 + 83,108
25 - 83,-58
25 / 83,0.30120481927710846
25 / 84,0.2976190476190476
25 - 87,-62
25 / 87,0.28735632183908044
25 - 88,-63
25 * 89,2225
25 + 90,115
25 - 90,-65
25 * 90,2250
25 / 91,0.27472527472527475
25 + 92,117
25 * 92,2300
25 * 93,2325
25 / 93,0.26881720430107525
25 - 94,-69
25 * 94,2350
25 + 95,120
25 / 95,0.2631578947368421
25 + 96,121
25 - 96,-71
25 * 96,2400
25 + 97,122
25 - 97,-72
25 + 98,123
25 - 98,-73
25 + 99,124
25 - 99,-74
26 + 0,26
26 - 0,26
26 * 0,0
26 + 1,27
26 - 1,25
26 + 2,28
26 - 2,24
26 + 3,29
26 - 3,23
26 * 3,78
26 / 3,8.666666666666666
26 + 4,30
26 * 4,104
26 + 5,31
26 - 5,21
26 * 5,130
26 / 5,5.2
26 + 7,33
26 * 7,182
26 * 8,208
26 - 9,17
26 / 9,2.888888888888889
26 + 10,36
26 * 10,260
26 / 10,2.6
26 - 11,15
26 / 11,2.3636363636363638
26 * 12,312
26 * 13,338
26 * 15,390
26 / 15,1.7333333333333334
26 + 16,42
26 * 16,416
26 / 17,1.5294117647058822
26 + 18,44
26 - 18,8
26 * 18,468
26 / 18,1.4444444444444444
26 + 19,45
26 * 19,494
26 * 20,520
26 / 20,1.3
26 + 21,47
26 - 21,5
26 * 21,546
26 / 21,1.2380952380952381
26 + 22,48
26 - 22,4
26 + 23,49
26 - 23,3
26 / 23,1.1304347826086956
26 + 24,50
26 + 25,51
26 * 25,650
26 + 26,52
26 - 26,0
26 / 26,1.0
26 + 27,53
26 / 27,0.9629629629629629
26 + 28,54
26 * 28,728
26 + 29,55
26 + 30,56
26 * 30,780
26 / 30,0.8666666666666667
26 + 31,57
26 / 31,0.8387096774193549
26 + 32,58
26 - 32,-6
26 * 32,832
26 / 32,0.8125
26 * 34,884
26 * 35,910
26 / 35,0.7428571428571429
26 - 36,-10
26 * 36,936
26 / 36,0.7222222222222222
26 + 37,63
26 * 37,962
26 / 37,0.7027027027027027
26 + 38,64
26 - 38,-12
26 / 38,0.6842105263157895
26 - 39,-13
26 / 39,0.6666666666666666
26 * 40,1040
26 + 41,67
26 * 42,1092
26 / 42,0.6190476190476191
26 + 43,69
26 - 43,-17
26 / 43,0.6046511627906976
26 + 44,70
26 - 44,-18
26 / 44,0.5909090909090909
26 + 45,71
26 + 46,72
26 - 46,-20
26 / 46,0.5652173913043478
26 - 47,-21
26 * 47,1222
26 / 47,0.5531914893617021
26 - 48,-22
26 / 48,0.5416666666666666
26 + 49,75
26 * 49,1274
26 / 49,0.5306122448979592
26 + 50,76
26 * 50,1300
26 / 50,0.52
26 - 51,-25
26 * 51,1326
26 + 52,78
26 - 52,-26
26 * 52,1352
26 / 52,0.5
26 / 53,0.49056603773584906
26 + 54,80
26 * 54,1404
26 / 54,0.48148148148148145
26 + 55,81
26 - 55,-29
26 * 55,1430
26 + 56,82
26 + 57,83
26 - 57,-31
26 * 57,1482
26 + 58,84
26 - 58,-32
26 + 59,85
26 + 60,86
26 * 60,1560
26 + 61,87
26 / 61,0.4262295081967213
26 * 62,1612
26 / 62,0.41935483870967744
26 + 63,89
26 * 63,1638
26 / 63,0.4126984126984127
26 + 64,90
26 - 64,-38
26 * 64,1664
26 / 64,0.40625
26 - 65,-39
26 * 65,1690
26 / 66,0.3939393939393939
26 + 67,93
26 / 67,0.3880597014925373
26 + 68,94
26 * 68,1768
26 * 69,1794
26 + 70,96
26 - 70,-44
26 + 71,97
26 - 71,-45
26 * 71,1846
26 + 72,98
26 / 72,0.3611111111111111
26 * 73,1898
26 / 73,0.3561643835616438
26 - 74,-48
26 * 74,1924
26 / 74,0.35135135135135137
26 + 75,101
26 / 75,0.3466666666666667
26 + 76,102
26 - 76,-50
26 * 76,1976
26 - 77,-51
26 * 77,2002
26 + 78,104
26 / 78,0.3333333333333333
26 * 79,2054
26 / 79,0.3291139240506329
26 + 80,106
26 / 80,0.325
26 + 81,107
26 * 81,2106
26 / 81,0.32098765432098764
26 + 82,108
26 * 82,2132
26 - 83,-57
26 * 83,2158
26 / 83,0.3132530120481928
26 / 84,0.30952380952380953
26 + 85,111
26 - 85,-59
26 / 85,0.3058823529411765
26 + 86,112
26 - 86,-60
26 - 89,-63
26 * 89,2314
26 / 89,0.29213483146067415
26 + 90,116
26 * 90,2340
26 / 90,0.28888888888888886
26 * 91,2366
26 / 91,0.2857142857142857
26 + 92,118
26 - 92,-66
26 * 92,2392
26 / 92,0.2826086956521739
26 + 93,119
26 - 93,-67
26 / 93,0.27956989247311825
26 + 94,120
26 - 94,-68
26 * 94,2444
26 / 94,0.2765957446808511
26 - 95,-69
26 * 95,2470
26 / 95,0.2736842105263158
26 + 96,122
26 - 96,-70
26 - 97,-71
26 * 97,2522
26 / 97,0.26804123711340205
26 / 98,0.2653061224489796
26 - 99,-73
27 + 0,27
27 * 0,0
27 - 1,26
27 / 1,27.0
27 - 2,25
27 + 3,30
27 - 3,24
27 * 3,81
27 / 3,9.0
27 - 4,23
27 * 4,108
27 / 4,6.75
27 + 5,32
27 / 5,5.4
27 + 6,33
27 * 6,162
27 / 7,3.857142857142857
27 + 8,35
27 - 8,19
27 * 9,243
27 + 10,37
27 + 11,38
27 * 11,297
27 - 12,15
27 + 13,40
27 - 13,14
27 + 14,41
27 * 14,378
27 / 14,1.9285714285714286
27 + 15,42
27 - 15,12
27 / 15,1.8
27 * 16,432
27 / 16,1.6875
27 + 17,44
27 * 17,459
27 / 17,1.588235294117647
27 + 19,46
27 - 20,7
27 * 20,540
27 / 20,1.35
27 + 21,48
27 - 21,6
27 * 21,567
27 / 21,1.2857142857142858
27 + 22,49
27 - 22,5
27 * 22,594
27 - 23,4
27 / 23,1.173913043478261
27 - 25,2
27 + 27,54
27 - 27,0
27 * 27,729
27 / 27,1.0
27 + 28,55
27 * 28,756
27 + 29,56
27 / 29,0.9310344827586207
27 + 30,57
27 * 30,810
27 / 30,0.9
27 + 31,58
27 * 31,837
27 + 32,59
27 / 32,0.84375
27 * 33,891
27 * 34,918
27 / 34,0.7941176470588235
27 * 35,945
27 + 36,63
27 - 36,-9
27 * 36,972
27 + 37,64
27 * 37,999
27 + 39,66
27 / 39,0.6923076923076923
27 + 40,67
27 * 40,1080
27 / 40,0.675
27 + 41,68
27 * 41,1107
27 - 42,-15
27 * 42,1134
27 / 42,0.6428571428571429
27 + 43,70
27 - 45,-18
27 / 45,0.6
27 - 46,-19
27 * 46,1242
27 + 47,74
27 - 47,-20
27 / 47,0.574468085106383
27 - 48,-21
27 * 48,1296
27 / 48,0.5625
27 + 49,76
27 / 49,0.5510204081632653
27 - 50,-23
27 * 50,1350
27 / 50,0.54
27 + 51,78
27 - 52,-25
27 / 52,0.5192307692307693
27 - 53,-26
27 * 53,1431
27 * 54,1458
27 / 54,0.5
27 + 55,82
27 + 56,83
27 * 56,1512
27 + 57,84
27 - 57,-30
27 + 58,85
27 - 58,-31
27 + 59,86
27 / 59,0.4576271186440678
27 + 60,87
27 - 60,-33
27 + 61,88
27 * 61,1647
27 + 62,89
27 - 62,-35
27 / 62,0.43548387096774194
27 - 63,-36
27 * 63,1701
27 + 64,91
27 - 64,-37
27 * 64,1728
27 / 64,0.421875
27 + 65,92
27 - 65,-38
27 * 65,1755
27 / 66,0.4090909090909091
27 * 67,1809
27 / 67,0.40298507462686567
27 + 68,95
27 * 68,1836
27 / 68,0.39705882352941174
27 + 69,96
27 / 69,0.391304347826087
27 * 70,1890
27 / 70,0.38571428571428573
27 + 71,98
27 * 71,1917
27 / 72,0.375
27 * 73,1971
27 / 73,0.3698630136986301
27 + 74,101
27 - 74,-47
27 * 74,1998
27 + 75,102
27 / 75,0.36
27 + 77,104
27 - 77,-50
27 + 78,105
27 * 78,2106
27 / 78,0.34615384615384615
27 / 79,0.34177215189873417
27 + 80,107
27 - 80,-53
27 / 80,0.3375
27 - 81,-54
27 * 82,2214
27 / 82,0.32926829268292684
27 + 83,110
27 - 83,-56
27 + 84,111
27 - 84,-57
27 / 84,0.32142857142857145
27 + 85,112
27 * 85,2295
27 / 85,0.3176470588235294
27 * 86,2322
27 / 86,0.313953488372093
27 * 87,2349
27 + 88,115
27 - 88,-61
27 + 89,116
27 - 89,-62
27 * 89,2403
27 + 90,117
27 - 90,-63
27 / 91,0.2967032967032967
27 + 92,119
27 - 92,-65
27 * 92,2484
27 / 92,0.29347826086956524
27 + 93,120
27 - 93,-66
27 / 93,0.2903225806451613
27 + 95,122
27 * 95,2565
27 + 96,123
27 - 96,-69
27 - 97,-70
27 * 97,2619
27 / 97,0.27835051546391754
27 * 98,2646
27 / 98,0.2755102040816326
27 + 99,126
27 - 99,-72
27 * 99,2673
27 / 99,0.2727272727272727
28 + 1,29
28 - 1,27
28 * 1,28
28 / 1,28.0
28 - 2,26
28 / 2,14.0
28 + 3,31
28 - 3,25
28 * 3,84
28 + 5,33
28 - 5,23
28 * 5,140
28 / 5,5.6
28 + 6,34
28 / 6,4.666666666666667
28 * 7,196
28 / 7,4.0
28 + 8,36
28 - 8,20
28 + 9,37
28 * 9,252
28 / 9,3.111111111111111
28 / 10,2.8
28 * 11,308
28 + 12,40
28 - 12,16
28 * 12,336
28 / 12,2.3333333333333335
28 + 13,41
28 - 13,15
28 - 14,14
28 + 15,43
28 / 16,1.75
28 - 17,11
28 - 18,10
28 / 18,1.5555555555555556
28 + 20,48
28 - 20,8
28 * 20,560
28 + 21,49
28 * 21,588
28 + 22,50
28 - 22,6
28 * 22,616
28 / 22,1.2727272727272727
28 - 23,5
28 / 23,1.2173913043478262
28 + 24,52
28 - 24,4
28 * 24,672
28 / 24,1.1666666666666667
28 + 25,53
28 - 25,3
28 * 25,700
28 / 25,1.12
28 * 26,728
28 / 26,1.0769230769230769
28 * 27,756
28 / 27,1.037037037037037
28 * 28,784
28 + 29,57
28 * 29,812
28 - 30,-2
28 * 30,840
28 + 31,59
28 / 31,0.9032258064516129
28 + 32,60
28 * 32,896
28 / 32,0.875
28 / 33,0.8484848484848485
28 * 34,952
28 / 35,0.8
28 + 36,64
28 - 36,-8
28 / 36,0.7777777777777778
28 + 37,65
28 - 37,-9
28 + 38,66
28 / 38,0.7368421052631579
28 + 39,67
28 * 39,1092
28 / 39,0.717948717948718
28 * 40,1120
28 / 40,0.7
28 * 41,1148
28 / 41,0.6829268292682927
28 + 42,70
28 * 42,1176
28 * 43,1204
28 - 44,-16
28 / 44,0.6363636363636364
28 - 45,-17
28 / 45,0.6222222222222222
28 + 46,74
28 / 46,0.6086956521739131
28 + 47,75
28 * 47,1316
28 + 49,77
28 - 49,-21
28 / 49,0.5714285714285714
28 + 50,78
28 - 50,-22
28 / 50,0.56
28 - 51,-23
28 / 51,0.5490196078431373
28 * 53,1484
28 - 54,-26
28 * 54,1512
28 / 54,0.5185185185185185
28 + 55,83
28 - 55,-27
28 - 56,-28
28 * 56,1568
28 / 57,0.49122807017543857
28 * 58,1624
28 / 58,0.4827586206896552
28 - 59,-31
28 / 59,0.4745762711864407
28 * 60,1680
28 / 60,0.4666666666666667
28 + 61,89
28 - 62,-34
28 * 63,1764
28 - 64,-36
28 * 64,1792
28 + 65,93
28 - 65,-37
28 / 65,0.4307692307692308
28 - 66,-38
28 * 66,1848
28 + 67,95
28 + 68,96
28 * 68,1904
28 / 68,0.4117647058823529
28 - 69,-41
28 * 69,1932
28 / 69,0.4057971014492754
28 + 70,98
28 / 70,0.4
28 / 71,0.39436619718309857
28 - 72,-44
28 - 73,-45
28 + 74,102
28 / 74,0.3783783783783784
28 - 75,-47
28 * 75,2100
28 + 77,105
28 - 77,-49
28 * 77,2156
28 + 78,106
28 - 78,-50
28 / 78,0.358974358974359
28 + 79,107
28 * 79,2212
28 - 80,-52
28 * 80,2240
28 / 80,0.35
28 + 81,109
28 - 81,-53
28 + 82,110
28 - 82,-54
28 / 82,0.34146341463414637
28 * 83,2324
28 / 83,0.3373493975903614
28 * 85,2380
28 / 85,0.32941176470588235
28 * 86,2408
28 / 86,0.32558139534883723
28 - 87,-59
28 * 87,2436
28 - 88,-60
28 / 88,0.3181818181818182
28 - 89,-61
28 + 90,118
28 * 90,2520
28 / 90,0.3111111111111111
28 - 91,-63
28 + 92,120
28 * 92,2576
28 + 93,121
28 - 93,-65
28 * 94,2632
28 / 94,0.2978723404255319
28 / 95,0.29473684210526313
28 - 96,-68
28 * 96,2688
28 / 96,0.2916666666666667
28 * 97,2716
28 / 97,0.28865979381443296
28 - 98,-70
28 * 98,2744
28 / 98,0.2857142857142857
28 * 99,2772
29 + 0,29
29 - 1,28
29 - 2,27
29 * 2,58
29 - 3,26
29 / 3,9.666666666666666
29 + 4,33
29 - 4,25
29 / 4,7.25
29 - 5,24
29 * 5,145
29 - 6,23
29 * 6,174
29 + 7,36
29 + 8,37
29 * 8,232
29 + 9,38
29 * 9,261
29 - 10,19
29 + 11,40
29 - 11,18
29 - 12,17
29 / 12,2.4166666666666665
29 - 13,16
29 * 13,377
29 / 13,2.230769230769231
29 / 14,2.0714285714285716
29 * 15,435
29 / 15,1.9333333333333333
29 - 16,13
29 / 16,1.8125
29 / 17,1.7058823529411764
29 - 18,11
29 * 18,522
29 * 19,551
29 / 19,1.5263157894736843
29 - 20,9
29 * 20,580
29 / 20,1.45
29 + 21,50
29 * 22,638
29 - 23,6
29 * 23,667
29 - 24,5
29 * 24,696
29 * 25,725
29 + 26,55
29 - 26,3
29 * 26,754
29 * 27,783
29 + 28,57
29 * 28,812
29 / 28,1.0357142857142858
29 - 29,0
29 * 29,841
29 / 29,1.0
29 * 30,870
29 / 31,0.9354838709677419
29 * 32,928
29 + 34,63
29 * 34,986
29 / 34,0.8529411764705882
29 + 35,64
29 - 35,-6
29 * 35,1015
29 + 36,65
29 * 36,1044
29 / 36,0.8055555555555556
29 / 37,0.7837837837837838
29 - 38,-9
29 / 38,0.7631578947368421
29 * 39,1131
29 / 39,0.7435897435897436
29 + 40,69
29 * 40,1160
29 / 40,0.725
29 + 42,71
29 * 42,1218
29 / 42,0.6904761904761905
29 + 43,72
29 - 43,-14
29 * 43,1247
29 / 44,0.6590909090909091
