Expression,Value
25*84,2100
45*82,3690
32-16,16
11*56,616
16*17,272
36+32,68
15-3,12
66*63,4158
24*40,960
84+32,116
35/33,1.0606060606060606
76*14,1064
58-12,46
25*7,175
92*92,8464
40/55,0.7272727272727273
11*58,638
76/81,0.9382716049382716
5+77,82
91-11,80
56*90,5040
44*55,2420
51+72,123
48+82,130
65/28,2.3214285714285716
46/65,0.7076923076923077
29-44,-15
49*94,4606
99+45,144
78+67,145
53+64,117
33+37,70
18-12,6
57+42,99
19/51,0.37254901960784315
46-47,-1
42*85,3570
36/82,0.43902439024390244
29/55,0.5272727272727272
18/23,0.782608695652174
82*69,5658
66/30,2.2
41/85,0.4823529411764706
6*12,72
58/38,1.5263157894736843
91*85,7735
54-34,20
5-41,-36
87-89,-2
23*79,1817
11+54,65
77-53,24
69/33,2.090909090909091
98/62,1.5806451612903225
60+56,116
10*50,500
54+85,139
4-12,-8
49/89,0.550561797752809
51*12,612
46/38,1.2105263157894737
66-63,3
96/61,1.5737704918032787
75-48,27
44/80,0.55
44/64,0.6875
90/68,1.3235294117647058
54*73,3942
95*11,1045
36-92,-56
32-9,23
47+3,50
89*33,2937
56-50,6
98*60,5880
34-47,-13
20+35,55
54/25,2.16
4+52,56
5-71,-66
32*55,1760
5*62,310
61*78,4758
80+14,94
12/13,0.9230769230769231
37/47,0.7872340425531915
63*25,1575
62-34,28
92/20,4.6
92-66,26
48/14,3.4285714285714284
88-98,-10
75*10,750
94-74,20
8-71,-63
89+91,180
46/85,0.5411764705882353
4*68,272
40-21,19
66-80,-14
67-57,10
72+16,88
86+11,97
29+92,121
68-57,11
9*60,540
98-98,0
34-20,14
21+6,27
44+91,135
1/55,0.01818181818181818
32+88,120
14-92,-78
78-27,51
67-57,10
40*85,3400
54*14,756
2+72,74
79*96,7584
96-47,49
3-43,-40
30/79,0.379746835443038
25+91,116
70+10,80
8*31,248
86-31,55
19*11,209
71+0,71
68/23,2.9565217391304346
79/23,3.4347826086956523
59/57,1.0350877192982457
61/38,1.605263157894737
7+19,26
3-56,-53
94*64,6016
99+83,182
47+17,64
78+71,149
72*48,3456
20*4,80
35/24,1.4583333333333333
9/41,0.21951219512195122
4*36,144
3/62,0.04838709677419355
21*20,420
67/56,1.1964285714285714
65*46,2990
9-97,-88
77-93,-16
5*99,495
29*77,2233
47/90,0.5222222222222223
39*30,1170
90+54,144
12-97,-85
23+17,40
84*86,7224
6-82,-76
11-53,-42
8-85,-77
23/17,1.3529411764705883
12+34,46
98*95,9310
80+21,101
1+2,3
57*59,3363
64+54,118
10*67,670
5/66,0.07575757575757576
24*44,1056
83/64,1.296875
14/28,0.5
19/48,0.3958333333333333
39/8,4.875
85*31,2635
87*37,3219
77-21,56
79*53,4187
93*17,1581
69/44,1.5681818181818181
89/56,1.5892857142857142
51+14,65
59+28,87
41/50,0.82
21-82,-61
83+86,169
9/70,0.12857142857142856
90+52,142
62/43,1.441860465116279
21*98,2058
7*38,266
88-6,82
4/30,0.13333333333333333
31/37,0.8378378378378378
39+69,108
20*80,1600
43/11,3.909090909090909
82+54,136
47*65,3055
88-8,80
50/58,0.8620689655172413
56-63,-7
66-3,63
44-33,11
76-88,-12
70-57,13
2*92,184
92*74,6808
84*81,6804
63*61,3843
16*81,1296
37*3,111
78/28,2.7857142857142856
5-7,-2
57+88,145
95*25,2375
46*60,2760
96*1,96
44-30,14
59/19,3.1052631578947367
99-7,92
60*47,2820
61-4,57
27/19,1.4210526315789473
2*76,152
90-5,85
90/93,0.967741935483871
27/54,0.5
52*66,3432
85*41,3485
81/44,1.8409090909090908
36+64,100
16*36,576
86/66,1.303030303030303
56+83,139
85+65,150
88+78,166
7+63,70
71-58,13
17/55,0.3090909090909091
41-56,-15
77+59,136
61*47,2867
11*31,341
6-91,-85
9-62,-53
40*74,2960
1-59,-58
30+98,128
83*80,6640
47-69,-22
47+53,100
49/68,0.7205882352941176
30*99,2970
6+26,32
72-82,-10
70-15,55
14*16,224
10*69,690
88*71,6248
77-26,51
3+61,64
31/27,1.1481481481481481
10/81,0.12345679012345678
76+81,157
79*8,632
98*50,4900
32-82,-50
95/34,2.7941176470588234
26-99,-73
12-52,-40
14+61,75
12-37,-25
80-47,33
18-70,-52
57*42,2394
58/34,1.7058823529411764
30-5,25
74/72,1.0277777777777777
24-20,4
61+57,118
88+67,155
13*16,208
45+28,73
11-21,-10
5*21,105
74*66,4884
82+6,88
1*77,77
28/23,1.2173913043478262
65/44,1.4772727272727273
92+97,189
60-53,7
87*25,2175
98*23,2254
11-21,-10
72*92,6624
57+31,88
56*63,3528
37+22,59
23+56,79
89+61,150
96-36,60
80-42,38
27*49,1323
43-16,27
23-20,3
80/30,2.6666666666666665
48+13,61
29+34,63
42+69,111
36/3,12.0
39/92,0.42391304347826086
32-26,6
51-47,4
99-29,70
31-65,-34
18*39,702
35/33,1.0606060606060606
75+72,147
46*30,1380
49/86,0.5697674418604651
54/83,0.6506024096385542
43*47,2021
51/89,0.5730337078651685
69*60,4140
77*63,4851
58+66,124
32-97,-65
9-28,-19
93+13,106
17+31,48
43+14,57
74*24,1776
81*81,6561
23+34,57
55-43,12
2/60,0.03333333333333333
12*59,708
20*95,1900
7-61,-54
11+78,89
61+8,69
83+19,102
80+99,179
69/99,0.696969696969697
85-46,39
19-98,-79
67+42,109
87+49,136
71/18,3.9444444444444446
10*95,950
48*2,96
14-79,-65
6-91,-85
89-69,20
39*53,2067
87-1,86
28/80,0.35
15-72,-57
66*93,6138
81/62,1.3064516129032258
79*77,6083
97+30,127
88-11,77
7/78,0.08974358974358974
55*93,5115
14/77,0.18181818181818182
15/96,0.15625
82/67,1.2238805970149254
40-92,-52
19-63,-44
64*49,3136
38/40,0.95
56*77,4312
85+55,140
45/8,5.625
98*73,7154
17+47,64
30/25,1.2
90*24,2160
26+48,74
94+92,186
3+40,43
91-41,50
21+83,104
26/17,1.5294117647058822
84-45,39
53-20,33
73/49,1.489795918367347
49/68,0.7205882352941176
55-87,-32
1*89,89
14*15,210
80*62,4960
99/93,1.064516129032258
41+61,102
70/27,2.5925925925925926
45-22,23
97/2,48.5
91+96,187
85*18,1530
57-53,4
43-16,27
64+38,102
16*67,1072
26+29,55
61*88,5368
87*37,3219
35+50,85
42/33,1.2727272727272727
53-32,21
14*43,602
44-7,37
99+11,110
95+62,157
21-60,-39
3+16,19
12*96,1152
66/76,0.868421052631579
47+3,50
46-31,15
9*95,855
17*89,1513
72*50,3600
43*66,2838
8-54,-46
13-49,-36
56+7,63
12*4,48
8+69,77
24-28,-4
24-75,-51
22-49,-27
77-75,2
49-92,-43
87+40,127
3*60,180
98/79,1.240506329113924
7-73,-66
32/43,0.7441860465116279
2+44,46
13/32,0.40625
44*36,1584
12-2,10
50/34,1.4705882352941178
62/55,1.1272727272727272
96-80,16
68*73,4964
28-49,-21
15/88,0.17045454545454544
12/55,0.21818181818181817
60*46,2760
10*34,340
50*11,550
65/9,7.222222222222222
62-71,-9
44-76,-32
53*73,3869
9*90,810
69/8,8.625
19/60,0.31666666666666665
13-56,-43
17/21,0.8095238095238095
55-71,-16
89*83,7387
78/49,1.5918367346938775
93*67,6231
21*48,1008
23+73,96
81+70,151
79*22,1738
91/60,1.5166666666666666
36-68,-32
97*98,9506
73+16,89
92/10,9.2
15+95,110
31/34,0.9117647058823529
30/99,0.30303030303030304
4-53,-49
39/66,0.5909090909090909
66*0,0
47/14,3.357142857142857
17*81,1377
48+20,68
93/15,6.2
26*91,2366
69-3,66
26/66,0.3939393939393939
52-65,-13
97+35,132
18*0,0
24/80,0.3
48-23,25
15-95,-80
43*62,2666
11/54,0.2037037037037037
8*52,416
44/33,1.3333333333333333
55-70,-15
37+63,100
43*16,688
48-65,-17
55*1,55
28/42,0.6666666666666666
92/36,2.5555555555555554
68*94,6392
16+52,68
71+39,110
40+25,65
31-40,-9
56*57,3192
21/35,0.6
15*77,1155
56+79,135
60*98,5880
17/72,0.2361111111111111
77/40,1.925
37-34,3
31+33,64
55-85,-30
80/21,3.8095238095238093
21*11,231
76/59,1.2881355932203389
29/21,1.380952380952381
38*15,570
69/81,0.8518518518518519
34/41,0.8292682926829268
29-94,-65
22-85,-63
74/91,0.8131868131868132
56/28,2.0
35+58,93
75/78,0.9615384615384616
76-32,44
17*23,391
51/76,0.6710526315789473
24-23,1
45-22,23
55/82,0.6707317073170732
6+55,61
3/83,0.03614457831325301
53-54,-1
76-87,-11
15+75,90
15+29,44
57+75,132
54-2,52
36-2,34
50*92,4600
49-96,-47
83+5,88
83+32,115
32*44,1408
98*97,9506
56*4,224
57+44,101
94*52,4888
72*47,3384
22*12,264
35-18,17
43+68,111
31*6,186
50*41,2050
34*51,1734
39+58,97
89-1,88
67*4,268
95/37,2.5675675675675675
81+92,173
15-50,-35
74/55,1.3454545454545455
6/21,0.2857142857142857
34*80,2720
3-3,0
98+74,172
41/25,1.64
31*91,2821
59-29,30
41+98,139
12-75,-63
87-95,-8
6-54,-48
31+54,85
59-74,-15
49*49,2401
66+0,66
14+94,108
35/86,0.4069767441860465
84-80,4
23+21,44
32-5,27
59*57,3363
79-25,54
35*58,2030
8-18,-10
63/34,1.8529411764705883
31/46,0.6739130434782609
61+91,152
27*47,1269
45+43,88
89-59,30
76/15,5.066666666666666
79/56,1.4107142857142858
58/2,29.0
45-66,-21
57+28,85
71-93,-22
25*96,2400
90/51,1.7647058823529411
13+52,65
76/71,1.0704225352112675
61*79,4819
20*12,240
49+60,109
90/88,1.0227272727272727
12+47,59
32/86,0.37209302325581395
30+36,66
34+29,63
45/47,0.9574468085106383
18*87,1566
41*53,2173
3+10,13
43+53,96
4-5,-1
67/10,6.7
93-42,51
98/3,32.666666666666664
7+89,96
22-10,12
39+30,69
60-74,-14
36*44,1584
32/72,0.4444444444444444
96+14,110
8*67,536
38*70,2660
45*73,3285
14-24,-10
6*70,420
44*94,4136
0+68,68
5-47,-42
49/39,1.2564102564102564
49*50,2450
79+14,93
3*67,201
14+64,78
81+75,156
40/3,13.333333333333334
81-9,72
41-60,-19
17+8,25
89-68,21
50+76,126
0*45,0
22+74,96
22/21,1.0476190476190477
1/65,0.015384615384615385
90/41,2.1951219512195124
98/3,32.666666666666664
35-56,-21
93+25,118
31*83,2573
0/30,0.0
26+65,91
60/38,1.5789473684210527
96*47,4512
2+29,31
14+94,108
27-34,-7
37-8,29
65*1,65
42*20,840
8+42,50
59/63,0.9365079365079365
68/90,0.7555555555555555
1-81,-80
52*12,624
94+19,113
24+44,68
55/33,1.6666666666666667
89+71,160
48+94,142
99+97,196
95+74,169
49+86,135
89/9,9.88888888888889
4+87,91
78+11,89
82+52,134
83/81,1.0246913580246915
3+60,63
73-88,-15
46+39,85
76*88,6688
45-62,-17
23-50,-27
85+48,133
9-50,-41
9-40,-31
62+90,152
14+27,41
74+90,164
20/99,0.20202020202020202
54-7,47
40+1,41
40+53,93
86/72,1.1944444444444444
75+50,125
38/96,0.3958333333333333
23+65,88
99/98,1.010204081632653
32+97,129
91*8,728
62/89,0.6966292134831461
16+63,79
18+10,28
36/25,1.44
27/2,13.5
97+47,144
34/15,2.2666666666666666
83*81,6723
87/47,1.851063829787234
14+92,106
80-92,-12
63+46,109
63*62,3906
7/65,0.1076923076923077
56/84,0.6666666666666666
76-36,40
7/75,0.09333333333333334
72/7,10.285714285714286
35*38,1330
35/93,0.3763440860215054
44+96,140
43*1,43
50-29,21
70+7,77
66-93,-27
9+74,83
7/21,0.3333333333333333
1/32,0.03125
48*21,1008
97+62,159
57-63,-6
29+60,89
67+60,127
37*46,1702
70*75,5250
88*20,1760
61*45,2745
15+43,58
31/75,0.41333333333333333
9*73,657
0*60,0
98+41,139
59+87,146
29+10,39
2+92,94
92-73,19
85+94,179
13*65,845
17*69,1173
27-64,-37
18*38,684
31*73,2263
24/5,4.8
78+88,166
39/14,2.7857142857142856
90/35,2.5714285714285716
26*5,130
15+85,100
67+18,85
79-13,66
13/88,0.14772727272727273
67*46,3082
24-60,-36
71+27,98
73-93,-20
98/81,1.2098765432098766
71/45,1.5777777777777777
36+1,37
0+89,89
55+87,142
64+11,75
86+57,143
18*39,702
13-47,-34
59*78,4602
56-11,45
80-70,10
39/40,0.975
62*50,3100
85/91,0.9340659340659341
63+66,129
9+96,105
94*70,6580
60+28,88
73-11,62
30*32,960
51+8,59
33+5,38
56*30,1680
3*88,264
88*78,6864
99/47,2.106382978723404
49*39,1911
49/54,0.9074074074074074
80/5,16.0
98/1,98.0
57*54,3078
40*80,3200
77/99,0.7777777777777778
32/32,1.0
6+3,9
87-75,12
53/89,0.5955056179775281
71-36,35
65-69,-4
32/34,0.9411764705882353
15-24,-9
17/67,0.2537313432835821
37*86,3182
56*48,2688
66-74,-8
85-93,-8
60-22,38
28+28,56
87*3,261
66-23,43
75/49,1.530612244897959
5-71,-66
58-65,-7
81+89,170
80-43,37
26-69,-43
89/16,5.5625
79*92,7268
92/97,0.9484536082474226
55*70,3850
29-19,10
1+72,73
42*91,3822
21+43,64
45-2,43
29+34,63
17*41,697
6/83,0.07228915662650602
75+75,150
94*79,7426
3+62,65
18*56,1008
85+58,143
46/11,4.181818181818182
3-42,-39
30+94,124
57+83,140
11/68,0.16176470588235295
2-14,-12
74*20,1480
23+25,48
85-63,22
14+85,99
85*36,3060
18*15,270
7+2,9
15/48,0.3125
42/10,4.2
59-88,-29
97*93,9021
57-82,-25
31+93,124
49-92,-43
56/86,0.6511627906976745
52+49,101
94/1,94.0
75+81,156
60*57,3420
83-20,63
37-93,-56
73-8,65
92*52,4784
36/38,0.9473684210526315
39+50,89
23*36,828
47-26,21
24+24,48
77-28,49
91/67,1.3582089552238805
71*43,3053
2-78,-76
88+18,106
14+53,67
62-50,12
85*99,8415
7+16,23
98-91,7
30+15,45
17+16,33
45*72,3240
77+33,110
26+1,27
82-15,67
69/78,0.8846153846153846
55+87,142
52/34,1.5294117647058822
63*49,3087
4-46,-42
19*0,0
44*85,3740
63-20,43
39+47,86
3*44,132
39*21,819
66*74,4884
44*39,1716
43*86,3698
48/77,0.6233766233766234
21-74,-53
84+2,86
69/47,1.4680851063829787
68*42,2856
47+18,65
57*80,4560
67/71,0.9436619718309859
40-63,-23
35*69,2415
27*28,756
0+51,51
45+54,99
95*83,7885
8*24,192
88/40,2.2
65/20,3.25
12-39,-27
7+18,25
12/72,0.16666666666666666
80*53,4240
5*27,135
20-10,10
15*8,120
31+82,113
75+93,168
33+92,125
36+85,121
23-77,-54
73+58,131
85*49,4165
2/70,0.02857142857142857
76*76,5776
25*50,1250
76+55,131
72/36,2.0
91+64,155
93/6,15.5
1/94,0.010638297872340425
2/39,0.05128205128205128
68*94,6392
38/56,0.6785714285714286
61+84,145
65/22,2.9545454545454546
50-37,13
7+20,27
88/46,1.9130434782608696
12+51,63
67*41,2747
59-88,-29
67+89,156
28/12,2.3333333333333335
2/16,0.125
92/48,1.9166666666666667
64*13,832
7/18,0.3888888888888889
24-38,-14
0+13,13
21+54,75
34-3,31
62/45,1.3777777777777778
7/6,1.1666666666666667
2-27,-25
81+49,130
34*4,136
20*96,1920
1-62,-61
14*82,1148
75/73,1.0273972602739727
16-54,-38
75+57,132
77/84,0.9166666666666666
84-86,-2
46-60,-14
86-7,79
47+69,116
41-94,-53
34/51,0.6666666666666666
87+5,92
9/53,0.16981132075471697
92+2,94
83-71,12
4+74,78
98-69,29
83/17,4.882352941176471
57*84,4788
85+31,116
48/17,2.823529411764706
87-88,-1
4+23,27
69-51,18
86*37,3182
95+96,191
53/85,0.6235294117647059
97-53,44
69+87,156
7+0,7
59/93,0.6344086021505376
12*12,144
34*97,3298
21+25,46
60*92,5520
63-64,-1
69*35,2415
77-71,6
93*90,8370
41*90,3690
42/78,0.5384615384615384
20/50,0.4
9*23,207
2-7,-5
43-16,27
27/47,0.574468085106383
86*38,3268
16/69,0.2318840579710145
4-55,-51
60/42,1.4285714285714286
54+74,128
46-73,-27
39*64,2496
89-78,11
43+3,46
15/24,0.625
5-66,-61
2-24,-22
34*4,136
62/1,62.0
60+85,145
47*23,1081
85*24,2040
40*83,3320
26-73,-47
10-23,-13
94*45,4230
42/58,0.7241379310344828
4*3,12
85-75,10
43-97,-54
29+3,32
50+10,60
73+27,100
79/66,1.196969696969697
94/28,3.357142857142857
48*87,4176
22/79,0.27848101265822783
88+43,131
51-98,-47
85-30,55
4*16,64
92*11,1012
25/78,0.32051282051282054
45-83,-38
62-63,-1
21-74,-53
26*61,1586
85+56,141
25+29,54
27*91,2457
35*75,2625
6-77,-71
8*33,264
5/1,5.0
86-92,-6
80+94,174
34/66,0.5151515151515151
19/79,0.24050632911392406
4*33,132
60-71,-11
61-86,-25
16/56,0.2857142857142857
2*66,132
87+85,172
80+11,91
37*1,37
33-30,3
54/35,1.542857142857143
92*7,644
65/26,2.5
87*39,3393
30*27,810
8*12,96
87*25,2175
62-86,-24
14*39,546
51-15,36
64/81,0.7901234567901234
5/2,2.5
95-24,71
43*96,4128
59-23,36
80/78,1.0256410256410255
15-28,-13
18/96,0.1875
82+13,95
44/6,7.333333333333333
29-65,-36
88+78,166
27/79,0.34177215189873417
51+85,136
62*50,3100
29*33,957
24-3,21
97*6,582
97-55,42
86+37,123
78+89,167
75*15,1125
29*88,2552
52/55,0.9454545454545454
75*80,6000
0-0,0
59/29,2.0344827586206895
58+44,102
64-84,-20
90-13,77
95*3,285
70/96,0.7291666666666666
13/76,0.17105263157894737
54+32,86
55+39,94
10-38,-28
11/7,1.5714285714285714
92+70,162
38/47,0.8085106382978723
92+39,131
70-71,-1
13-8,5
89+51,140
13*74,962
45/72,0.625
97*81,7857
0*85,0
50*67,3350
87-87,0
40*54,2160
57/29,1.9655172413793103
14*99,1386
33/23,1.434782608695652
32/33,0.9696969696969697
0/48,0.0
35/84,0.4166666666666667
6*56,336
4-6,-2
18*38,684
55/4,13.75
63+21,84
80/22,3.6363636363636362
22*35,770
47+33,80
90+45,135
71*50,3550
5*56,280
49+8,57
98+71,169
50*77,3850
10-59,-49
97*53,5141
0+23,23
49/40,1.225
63*24,1512
55/27,2.037037037037037
70*62,4340
21*55,1155
58-3,55
62+54,116
50*94,4700
73-2,71
89+97,186
23*31,713
96-80,16
7-75,-68
32/91,0.3516483516483517
78+60,138
60*24,1440
94-62,32
23/61,0.3770491803278688
2*72,144
7+64,71
15/12,1.25
40/91,0.43956043956043955
43/29,1.4827586206896552
48+79,127
50*3,150
64+63,127
57/84,0.6785714285714286
87/33,2.6363636363636362
68*64,4352
37-73,-36
58-22,36
35/64,0.546875
92*4,368
14/27,0.5185185185185185
91*84,7644
74*42,3108
67+93,160
79/69,1.144927536231884
83/45,1.8444444444444446
91/90,1.011111111111111
35/23,1.5217391304347827
34*17,578
11-92,-81
89+89,178
60-11,49
81*39,3159
35/45,0.7777777777777778
28*51,1428
31+81,112
61+10,71
63+99,162
74-65,9
82*16,1312
33+90,123
54*1,54
48/94,0.5106382978723404
41*13,533
38+26,64
25+9,34
51+21,72
35+16,51
75/36,2.0833333333333335
79-23,56
66+85,151
87+15,102
64+9,73
45*89,4005
91-55,36
15-92,-77
97/66,1.4696969696969697
46+85,131
56+18,74
7+35,42
59/84,0.7023809523809523
73+63,136
95*44,4180
17+60,77
5/2,2.5
89-66,23
28*48,1344
47*93,4371
57-20,37
6*73,438
4*87,348
0+8,8
44+18,62
22-86,-64
72-5,67
18*70,1260
83/19,4.368421052631579
75*8,600
45+2,47
93*63,5859
31/67,0.4626865671641791
70*83,5810
17*71,1207
26-4,22
21-24,-3
99-68,31
55/20,2.75
24/22,1.0909090909090908
64-63,1
60+28,88
60*37,2220
89-18,71
40+65,105
3/88,0.03409090909090909
94+87,181
4+14,18
21/35,0.6
76-87,-11
8-94,-86
2+87,89
42-89,-47
40*18,720
76-79,-3
87/46,1.891304347826087
65/69,0.9420289855072463
39-23,16
55/13,4.230769230769231
92+46,138
41+51,92
4+72,76
10*78,780
0/92,0.0
79*68,5372
91*42,3822
8-79,-71
16+42,58
81/31,2.6129032258064515
89-73,16
21*92,1932
54-13,41
65/88,0.7386363636363636
0-23,-23
7+66,73
0+63,63
65/85,0.7647058823529411
92/81,1.1358024691358024
2*62,124
0-85,-85
23+22,45
44-99,-55
26-97,-71
78*13,1014
81*84,6804
82*33,2706
44+15,59
36+77,113
23+92,115
64-20,44
82*20,1640
11*68,748
47/52,0.9038461538461539
32+91,123
61-54,7
54+84,138
93-4,89
69+55,124
2+31,33
76+75,151
99-74,25
10/52,0.19230769230769232
9/91,0.0989010989010989
83*74,6142
9*97,873
23*46,1058
73-71,2
91*48,4368
11/86,0.12790697674418605
8*27,216
18*18,324
89/38,2.3421052631578947
44-82,-38
55+79,134
12+20,32
11+22,33
55/80,0.6875
69-46,23
23/93,0.24731182795698925
40/49,0.8163265306122449
77/38,2.026315789473684
75-49,26
72/60,1.2
98+12,110
22/24,0.9166666666666666
36/30,1.2
82/77,1.0649350649350648
75-23,52
54/24,2.25
70+36,106
62-50,12
17*8,136
47+98,145
63/89,0.7078651685393258
48+12,60
13+66,79
19/61,0.3114754098360656
89*9,801
73*64,4672
19+28,47
91-20,71
94+50,144
56*0,0
6+44,50
96-90,6
84/36,2.3333333333333335
48-53,-5
61-35,26
53/87,0.6091954022988506
94+55,149
59/1,59.0
32*49,1568
98/4,24.5
12*64,768
92*75,6900
53/4,13.25
8+1,9
90/12,7.5
12-23,-11
31+93,124
73-45,28
49*40,1960
27-74,-47
71+63,134
62*54,3348
56+59,115
61-57,4
81*49,3969
39-89,-50
12/87,0.13793103448275862
9/93,0.0967741935483871
2+43,45
53-83,-30
27/48,0.5625
12+49,61
1-68,-67
98*68,6664
88+37,125
83*8,664
24*75,1800
58*15,870
48+68,116
0+58,58
74/56,1.3214285714285714
95-89,6
33+8,41
12-23,-11
58-15,43
98*10,980
78*76,5928
43+15,58
84+94,178
20*42,840
16-97,-81
89-29,60
77-59,18
45*7,315
10+67,77
55-69,-14
63+65,128
6*95,570
27+68,95
45-22,23
59+2,61
67+26,93
0/36,0.0
8-22,-14
40+31,71
81+13,94
13/98,0.1326530612244898
75-62,13
22*94,2068
95+49,144
9/41,0.21951219512195122
1-15,-14
91*73,6643
23+91,114
73-49,24
22/71,0.30985915492957744
59/56,1.0535714285714286
16+99,115
80*11,880
94*78,7332
67/28,2.392857142857143
93*38,3534
80-81,-1
63-63,0
31*77,2387
47/85,0.5529411764705883
45-65,-20
36*53,1908
61+38,99
41+96,137
5*56,280
1-81,-80
40/57,0.7017543859649122
39*4,156
24*3,72
76+73,149
23*21,483
18+15,33
2+33,35
60+66,126
26+76,102
29+69,98
34-42,-8
1+29,30
43*46,1978
89+53,142
3+73,76
50/40,1.25
53-86,-33
8-52,-44
67-55,12
48/83,0.5783132530120482
12-76,-64
5-35,-30
25+59,84
71+76,147
52-88,-36
6*46,276
52*78,4056
47/65,0.7230769230769231
84*66,5544
79*17,1343
30/74,0.40540540540540543
40/79,0.5063291139240507
72/26,2.769230769230769
55*95,5225
55-87,-32
16+73,89
21+13,34
12+94,106
39+26,65
88-2,86
28-88,-60
67-17,50
14-89,-75
23-1,22
80/47,1.702127659574468
94+90,184
48/31,1.5483870967741935
62*4,248
74-31,43
18/65,0.27692307692307694
24+92,116
7*31,217
5+21,26
25-82,-57
84-78,6
81-39,42
42/86,0.4883720930232558
99-24,75
48/5,9.6
34-66,-32
27*29,783
59+7,66
82+68,150
36*12,432
70+16,86
19*18,342
64/84,0.7619047619047619
29*93,2697
26*85,2210
6+90,96
59-74,-15
69*27,1863
31-23,8
28*9,252
36/39,0.9230769230769231
15*3,45
97/2,48.5
37/11,3.3636363636363638
61*58,3538
8/41,0.1951219512195122
57-15,42
44*15,660
71*15,1065
25*21,525
20+14,34
73*69,5037
87+10,97
41+49,90
1+50,51
45*73,3285
20-98,-78
57*67,3819
87-34,53
70/6,11.666666666666666
75-41,34
84-26,58
68+55,123
33+96,129
82*25,2050
2+44,46
5-78,-73
47/94,0.5
34-70,-36
86+39,125
54+63,117
86-14,72
36*47,1692
84/78,1.0769230769230769
41+26,67
27*17,459
49-47,2
45-19,26
70*51,3570
72*51,3672
62/64,0.96875
49+42,91
87+15,102
93/38,2.4473684210526314
21*29,609
5*74,370
0*81,0
3-20,-17
67*78,5226
39+91,130
8/72,0.1111111111111111
66*16,1056
69-55,14
45-9,36
85*86,7310
56*12,672
14-25,-11
46*64,2944
61+98,159
78*14,1092
29/28,1.0357142857142858
8-0,8
89-40,49
94+81,175
76/91,0.8351648351648352
95/62,1.532258064516129
42-14,28
88*73,6424
44/72,0.6111111111111112
6/60,0.1
52/93,0.5591397849462365
99/79,1.2531645569620253
87/16,5.4375
25-30,-5
81+46,127
30-64,-34
85-36,49
71+53,124
97-84,13
2+24,26
89-71,18
76+32,108
3-96,-93
75/26,2.8846153846153846
22+78,100
23*76,1748
95-32,63
48+78,126
74*18,1332
54-9,45
31*50,1550
7-35,-28
6-39,-33
86-11,75
88/5,17.6
2/45,0.044444444444444446
30/36,0.8333333333333334
87/51,1.7058823529411764
22*2,44
91*25,2275
66+26,92
69+50,119
27*94,2538
5-77,-72
91-0,91
64-37,27
6*75,450
64-93,-29
91*58,5278
38*0,0
89-13,76
49+95,144
39+59,98
7/14,0.5
21*72,1512
18/18,1.0
84-94,-10
88+17,105
2/62,0.03225806451612903
66*46,3036
7-25,-18
97/40,2.425
95/45,2.111111111111111
49/13,3.769230769230769
9*8,72
91-28,63
29/93,0.3118279569892473
60-82,-22
88+15,103
44/74,0.5945945945945946
35*72,2520
88-23,65
37-66,-29
52-66,-14
5/2,2.5
54*49,2646
74+2,76
93+4,97
49-93,-44
63-69,-6
41-7,34
37-3,34
4/20,0.2
71-78,-7
42+71,113
2/61,0.03278688524590164
39/7,5.571428571428571
31/95,0.3263157894736842
27+52,79
96-79,17
70-82,-12
91*86,7826
71*59,4189
12*13,156
39-28,11
63*90,5670
78*89,6942
85/41,2.073170731707317
15/76,0.19736842105263158
78/85,0.9176470588235294
86*61,5246
76*20,1520
73*55,4015
65/72,0.9027777777777778
61+3,64
57/92,0.6195652173913043
97/60,1.6166666666666667
61+42,103
67+16,83
34+94,128
12*52,624
23-31,-8
47-52,-5
13*11,143
41-25,16
31/73,0.4246575342465753
27*15,405
93*6,558
92-92,0
19-71,-52
75/48,1.5625
0*66,0
51*21,1071
48-2,46
36*5,180
2*92,184
48/73,0.6575342465753424
12-45,-33
92-85,7
69*85,5865
36/11,3.272727272727273
43-92,-49
98+80,178
44-45,-1
70-34,36
46+39,85
62-67,-5
54/64,0.84375
18/6,3.0
1/51,0.0196078431372549
8+43,51
66*67,4422
21+21,42
33+29,62
23*79,1817
9-11,-2
89/84,1.0595238095238095
69/27,2.5555555555555554
9/13,0.6923076923076923
21/3,7.0
50/8,6.25
53+89,142
2-97,-95
62*45,2790
33*12,396
31/95,0.3263157894736842
70+40,110
40/52,0.7692307692307693
40/89,0.449438202247191
68-97,-29
47+9,56
28-93,-65
59-85,-26
62-95,-33
65*78,5070
36/72,0.5
14+6,20
5-48,-43
33-7,26
41*35,1435
22-99,-77
49/27,1.8148148148148149
63/21,3.0
79/18,4.388888888888889
5+96,101
14/22,0.6363636363636364
75-15,60
98*30,2940
85*52,4420
27+23,50
78*44,3432
61+58,119
25+84,109
84-91,-7
67*64,4288
67*53,3551
71*22,1562
40+50,90
39/17,2.2941176470588234
86/2,43.0
61/98,0.6224489795918368
73+73,146
70-23,47
64*81,5184
3-70,-67
47-84,-37
95*57,5415
85+96,181
35/24,1.4583333333333333
80+37,117
32+84,116
60-57,3
34-21,13
74+69,143
93+76,169
17/13,1.3076923076923077
86/44,1.9545454545454546
62*31,1922
62+33,95
69*74,5106
92/28,3.2857142857142856
82+40,122
94/29,3.2413793103448274
8+17,25
51+3,54
4+83,87
